##Databases: KEGG PATHWAY, Gene Ontology								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
ribosome binding	Gene Ontology	GO:0043022	1	61	0.45814133682	0.653414693497	Barthea12144	http://amigo.geneontology.org/amigo/term/GO:0043022
membrane	Gene Ontology	GO:0016020	13	1241	0.461685754633	0.655990231882	Barthea25094|Barthea29251|Barthea29172|Barthea22903|Barthea25073|Barthea39557|Barthea39498|Barthea39499|Barthea22849|Barthea22883|Barthea20987|Barthea20988|Barthea13824	http://amigo.geneontology.org/amigo/term/GO:0016020
regulation of meristem growth	Gene Ontology	GO:0010075	1	62	0.463474184687	0.655990231882	Barthea12145	http://amigo.geneontology.org/amigo/term/GO:0010075
plant organ development	Gene Ontology	GO:0099402	1	62	0.463474184687	0.655990231882	Barthea29232	http://amigo.geneontology.org/amigo/term/GO:0099402
regulation of meristem structural organization	Gene Ontology	GO:0009934	1	62	0.463474184687	0.655990231882	Barthea12145	http://amigo.geneontology.org/amigo/term/GO:0009934
chromatin remodeling	Gene Ontology	GO:0006338	1	63	0.46875467373	0.659082558753	Barthea37784	http://amigo.geneontology.org/amigo/term/GO:0006338
protein histidine kinase binding	Gene Ontology	GO:0043424	1	63	0.46875467373	0.659082558753	Barthea25076	http://amigo.geneontology.org/amigo/term/GO:0043424
response to jasmonic acid	Gene Ontology	GO:0009753	3	256	0.468849278704	0.659082558753	Barthea13806|Barthea13805|Barthea29250	http://amigo.geneontology.org/amigo/term/GO:0009753
unidimensional cell growth	Gene Ontology	GO:0009826	3	258	0.473872057177	0.659198822452	Barthea12156|Barthea22889|Barthea12174	http://amigo.geneontology.org/amigo/term/GO:0009826
late endosome to vacuole transport	Gene Ontology	GO:0045324	1	64	0.473983316782	0.659198822452	Barthea29247	http://amigo.geneontology.org/amigo/term/GO:0045324
calcium ion transport	Gene Ontology	GO:0006816	1	64	0.473983316782	0.659198822452	Barthea25095	http://amigo.geneontology.org/amigo/term/GO:0006816
cellular amino acid metabolic process	Gene Ontology	GO:0006520	1	64	0.473983316782	0.659198822452	Barthea39533	http://amigo.geneontology.org/amigo/term/GO:0006520
negative regulation of transcription by RNA polymerase II	Gene Ontology	GO:0000122	1	64	0.473983316782	0.659198822452	Barthea20831	http://amigo.geneontology.org/amigo/term/GO:0000122
systemic acquired resistance, salicylic acid mediated signaling pathway	Gene Ontology	GO:0009862	1	64	0.473983316782	0.659198822452	Barthea20975	http://amigo.geneontology.org/amigo/term/GO:0009862
mRNA processing	Gene Ontology	GO:0006397	1	65	0.479160621665	0.662867079087	Barthea12177	http://amigo.geneontology.org/amigo/term/GO:0006397
seed maturation	Gene Ontology	GO:0010431	1	65	0.479160621665	0.662867079087	Barthea13822	http://amigo.geneontology.org/amigo/term/GO:0010431
plant-type primary cell wall biogenesis	Gene Ontology	GO:0009833	1	65	0.479160621665	0.662867079087	Barthea22895	http://amigo.geneontology.org/amigo/term/GO:0009833
protein heterodimerization activity	Gene Ontology	GO:0046982	3	261	0.481365230563	0.664092456109	Barthea12174|Barthea25098|Barthea39501	http://amigo.geneontology.org/amigo/term/GO:0046982
endoplasmic reticulum membrane	Gene Ontology	GO:0005789	4	361	0.483163012212	0.664092456109	Barthea37797|Barthea25092|Barthea22842|Barthea29180	http://amigo.geneontology.org/amigo/term/GO:0005789
MAP kinase activity	Gene Ontology	GO:0004707	1	66	0.484287091237	0.664092456109	Barthea29231	http://amigo.geneontology.org/amigo/term/GO:0004707
phototropism	Gene Ontology	GO:0009638	1	66	0.484287091237	0.664092456109	Barthea22916	http://amigo.geneontology.org/amigo/term/GO:0009638
chloroplast	Gene Ontology	GO:0009507	77	7693	0.48753399819	0.665228131871	Barthea37773|Barthea39511|Barthea39513|Barthea41251|Barthea39558|Barthea37775|Barthea37774|Barthea39533|Barthea13815|Barthea39557|Barthea12181|Barthea39536|Barthea13812|Barthea25071|Barthea20849|Barthea39497|Barthea12145|Barthea12144|Barthea22863|Barthea37776|Barthea25093|Barthea22844|Barthea22843|Barthea29245|Barthea21000|Barthea25073|Barthea25072|Barthea13799|Barthea39516|Barthea29182|Barthea29181|Barthea37786|Barthea20848|Barthea20844|Barthea22889|Barthea25062|Barthea37779|Barthea37787|Barthea41265|Barthea29174|Barthea39505|Barthea41244|Barthea39501|Barthea22911|Barthea13810|Barthea20850|Barthea20969|Barthea25098|Barthea13800|Barthea22847|Barthea22833|Barthea13797|Barthea12152|Barthea12153|Barthea22838|Barthea22839|Barthea22854|Barthea20993|Barthea37789|Barthea22853|Barthea12179|Barthea37797|Barthea29239|Barthea25065|Barthea20970|Barthea22890|Barthea25059|Barthea30114|Barthea20973|Barthea20963|Barthea32063|Barthea41254|Barthea29238|Barthea20971|Barthea20835|Barthea41235|Barthea41252	http://amigo.geneontology.org/amigo/term/GO:0009507
fruit development	Gene Ontology	GO:0010154	1	67	0.489363223445	0.665228131871	Barthea22842	http://amigo.geneontology.org/amigo/term/GO:0010154
brassinosteroid homeostasis	Gene Ontology	GO:0010268	1	67	0.489363223445	0.665228131871	Barthea12174	http://amigo.geneontology.org/amigo/term/GO:0010268
cellulose synthase activity	Gene Ontology	GO:0016759	1	68	0.494389511369	0.668578562007	Barthea22895	http://amigo.geneontology.org/amigo/term/GO:0016759
cellular calcium ion homeostasis	Gene Ontology	GO:0006874	1	68	0.494389511369	0.668578562007	Barthea25095	http://amigo.geneontology.org/amigo/term/GO:0006874
methyl indole-3-acetate esterase activity	Gene Ontology	GO:0080030	1	68	0.494389511369	0.668578562007	Barthea41249	http://amigo.geneontology.org/amigo/term/GO:0080030
embryo sac development	Gene Ontology	GO:0009553	2	169	0.502143943051	0.676134581452	Barthea29177|Barthea25058	http://amigo.geneontology.org/amigo/term/GO:0009553
chromatin	Gene Ontology	GO:0000785	1	70	0.504294502641	0.676134581452	Barthea29177	http://amigo.geneontology.org/amigo/term/GO:0000785
chloroplast thylakoid lumen	Gene Ontology	GO:0009543	1	70	0.504294502641	0.676134581452	Barthea25062	http://amigo.geneontology.org/amigo/term/GO:0009543
cellular response to abscisic acid stimulus	Gene Ontology	GO:0071215	1	70	0.504294502641	0.676134581452	Barthea13822	http://amigo.geneontology.org/amigo/term/GO:0071215
leaf morphogenesis	Gene Ontology	GO:0009965	2	170	0.505232289093	0.67623398694	Barthea41266|Barthea41267	http://amigo.geneontology.org/amigo/term/GO:0009965
stamen development	Gene Ontology	GO:0048443	1	71	0.509174168245	0.67803294853	Barthea22866	http://amigo.geneontology.org/amigo/term/GO:0048443
response to zinc ion	Gene Ontology	GO:0010043	1	71	0.509174168245	0.67803294853	Barthea29251	http://amigo.geneontology.org/amigo/term/GO:0010043
fatty acid beta-oxidation	Gene Ontology	GO:0006635	1	73	0.518790209868	0.687331191754	Barthea41244	http://amigo.geneontology.org/amigo/term/GO:0006635
regulation of root meristem growth	Gene Ontology	GO:0010082	1	73	0.518790209868	0.687331191754	Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0010082
aspartic-type endopeptidase activity	Gene Ontology	GO:0004190	1	74	0.523527520207	0.691268209649	Barthea41234	http://amigo.geneontology.org/amigo/term/GO:0004190
signaling receptor activity	Gene Ontology	GO:0038023	1	74	0.523527520207	0.691268209649	Barthea25095	http://amigo.geneontology.org/amigo/term/GO:0038023
primary root development	Gene Ontology	GO:0080022	1	75	0.528218305507	0.695117534811	Barthea22866	http://amigo.geneontology.org/amigo/term/GO:0080022
peroxisome	Gene Ontology	GO:0005777	6	589	0.531153917101	0.697807914581	Barthea22844|Barthea20967|Barthea41244|Barthea29185|Barthea37792|Barthea22831	http://amigo.geneontology.org/amigo/term/GO:0005777
biosynthetic process	Gene Ontology	GO:0009058	1	77	0.537462119834	0.704912629531	Barthea12182	http://amigo.geneontology.org/amigo/term/GO:0009058
regulation of pollen tube growth	Gene Ontology	GO:0080092	1	79	0.546525246234	0.714406123207	Barthea22860	http://amigo.geneontology.org/amigo/term/GO:0080092
xylem and phloem pattern formation	Gene Ontology	GO:0010051	1	79	0.546525246234	0.714406123207	Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0010051
protein catabolic process	Gene Ontology	GO:0030163	1	80	0.550990155243	0.719042152592	Barthea12152	http://amigo.geneontology.org/amigo/term/GO:0030163
lipid transport	Gene Ontology	GO:0006869	1	81	0.555411208191	0.723605617327	Barthea20953	http://amigo.geneontology.org/amigo/term/GO:0006869
chloroplast organization	Gene Ontology	GO:0009658	3	295	0.562411507415	0.730096974684	Barthea20963|Barthea20973|Barthea21000	http://amigo.geneontology.org/amigo/term/GO:0009658
Golgi cis cisterna	Gene Ontology	GO:0000137	1	83	0.564123460643	0.730096974684	Barthea39535	http://amigo.geneontology.org/amigo/term/GO:0000137
cotyledon development	Gene Ontology	GO:0048825	1	83	0.564123460643	0.730096974684	Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0048825
regulation of cell cycle	Gene Ontology	GO:0051726	1	84	0.568415507059	0.73443785813	Barthea22848	http://amigo.geneontology.org/amigo/term/GO:0051726
methylation	Gene Ontology	GO:0032259	1	85	0.572665391315	0.736284074547	Barthea39511	http://amigo.geneontology.org/amigo/term/GO:0032259
developmental process	Gene Ontology	GO:0032502	1	85	0.572665391315	0.736284074547	Barthea39512	http://amigo.geneontology.org/amigo/term/GO:0032502
dioxygenase activity	Gene Ontology	GO:0051213	1	85	0.572665391315	0.736284074547	Barthea29175	http://amigo.geneontology.org/amigo/term/GO:0051213
transcription coactivator activity	Gene Ontology	GO:0003713	1	86	0.576873526589	0.740478641506	Barthea39530	http://amigo.geneontology.org/amigo/term/GO:0003713
auxin homeostasis	Gene Ontology	GO:0010252	1	87	0.581040322018	0.743389823758	Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0010252
SNARE binding	Gene Ontology	GO:0000149	1	88	0.585166182741	0.747447179586	Barthea41270	http://amigo.geneontology.org/amigo/term/GO:0000149
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	Gene Ontology	GO:0016616	1	89	0.589251509935	0.751439629119	Barthea12186	http://amigo.geneontology.org/amigo/term/GO:0016616
pollen tube	Gene Ontology	GO:0090406	1	90	0.593296700855	0.755367994746	Barthea22860	http://amigo.geneontology.org/amigo/term/GO:0090406
peptidyl-prolyl cis-trans isomerase activity	Gene Ontology	GO:0003755	1	91	0.59730214887	0.756776023569	Barthea25062	http://amigo.geneontology.org/amigo/term/GO:0003755
S-adenosylmethionine-dependent methyltransferase activity	Gene Ontology	GO:0008757	1	91	0.59730214887	0.756776023569	Barthea12182	http://amigo.geneontology.org/amigo/term/GO:0008757
cell plate	Gene Ontology	GO:0009504	1	91	0.59730214887	0.756776023569	Barthea12156	http://amigo.geneontology.org/amigo/term/GO:0009504
RNA processing	Gene Ontology	GO:0006396	1	92	0.601268243508	0.759343604301	Barthea22839	http://amigo.geneontology.org/amigo/term/GO:0006396
cortical microtubule organization	Gene Ontology	GO:0043622	1	92	0.601268243508	0.759343604301	Barthea12156	http://amigo.geneontology.org/amigo/term/GO:0043622
mitotic cell cycle	Gene Ontology	GO:0000278	1	94	0.609083911739	0.76289526431	Barthea22834	http://amigo.geneontology.org/amigo/term/GO:0000278
stomatal movement	Gene Ontology	GO:0010118	1	94	0.609083911739	0.76289526431	Barthea41244	http://amigo.geneontology.org/amigo/term/GO:0010118
Rab GTPase binding	Gene Ontology	GO:0017137	1	94	0.609083911739	0.76289526431	Barthea29248	http://amigo.geneontology.org/amigo/term/GO:0017137
UDP-glycosyltransferase activity	Gene Ontology	GO:0008194	1	94	0.609083911739	0.76289526431	Barthea29240	http://amigo.geneontology.org/amigo/term/GO:0008194
defense response to bacterium	Gene Ontology	GO:0042742	6	640	0.611111233049	0.76289526431	Barthea29250|Barthea13803|Barthea25084|Barthea39509|Barthea30114|Barthea22861	http://amigo.geneontology.org/amigo/term/GO:0042742
pollen tube growth	Gene Ontology	GO:0009860	2	208	0.61303866936	0.76289526431	Barthea41249|Barthea39514	http://amigo.geneontology.org/amigo/term/GO:0009860
response to stress	Gene Ontology	GO:0006950	1	96	0.616746746243	0.76289526431	Barthea12154	http://amigo.geneontology.org/amigo/term/GO:0006950
nuclear chromatin	Gene Ontology	GO:0000790	1	96	0.616746746243	0.76289526431	Barthea12147	http://amigo.geneontology.org/amigo/term/GO:0000790
fatty acid metabolic process	Gene Ontology	GO:0006631	1	96	0.616746746243	0.76289526431	Barthea25073	http://amigo.geneontology.org/amigo/term/GO:0006631
protein disulfide oxidoreductase activity	Gene Ontology	GO:0015035	1	96	0.616746746243	0.76289526431	Barthea39558	http://amigo.geneontology.org/amigo/term/GO:0015035
cyclin-dependent protein kinase holoenzyme complex	Gene Ontology	GO:0000307	1	97	0.620521784851	0.765417648025	Barthea12147	http://amigo.geneontology.org/amigo/term/GO:0000307
response to salicylic acid	Gene Ontology	GO:0009751	2	211	0.620741004465	0.765417648025	Barthea29250|Barthea39509	http://amigo.geneontology.org/amigo/term/GO:0009751
mitochondrial respiratory chain complex I	Gene Ontology	GO:0005747	1	98	0.624259728537	0.768546175227	Barthea25059	http://amigo.geneontology.org/amigo/term/GO:0005747
cell wall biogenesis	Gene Ontology	GO:0042546	1	99	0.627960940932	0.770347332392	Barthea25057	http://amigo.geneontology.org/amigo/term/GO:0042546
regulation of gene expression	Gene Ontology	GO:0010468	2	214	0.628324752517	0.770347332392	Barthea20838|Barthea29231	http://amigo.geneontology.org/amigo/term/GO:0010468
multidimensional cell growth	Gene Ontology	GO:0009825	1	100	0.631625782114	0.770347332392	Barthea41238	http://amigo.geneontology.org/amigo/term/GO:0009825
kinase binding	Gene Ontology	GO:0019900	1	100	0.631625782114	0.770347332392	Barthea29242	http://amigo.geneontology.org/amigo/term/GO:0019900
response to high light intensity	Gene Ontology	GO:0009644	1	100	0.631625782114	0.770347332392	Barthea41244	http://amigo.geneontology.org/amigo/term/GO:0009644
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	Gene Ontology	GO:0031146	1	100	0.631625782114	0.770347332392	Barthea22866	http://amigo.geneontology.org/amigo/term/GO:0031146
proton transmembrane transport	Gene Ontology	GO:1902600	1	101	0.635254608638	0.771819798937	Barthea22889	http://amigo.geneontology.org/amigo/term/GO:1902600
photoperiodism, flowering	Gene Ontology	GO:0048573	1	101	0.635254608638	0.771819798937	Barthea20829	http://amigo.geneontology.org/amigo/term/GO:0048573
response to bacterium	Gene Ontology	GO:0009617	2	217	0.635790255829	0.771819798937	Barthea25084|Barthea22831	http://amigo.geneontology.org/amigo/term/GO:0009617
regulation of stomatal closure	Gene Ontology	GO:0090333	1	102	0.63884777357	0.774330970132	Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0090333
gravitropism	Gene Ontology	GO:0009630	1	103	0.642405626527	0.776125289225	Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0009630
xylem development	Gene Ontology	GO:0010089	1	103	0.642405626527	0.776125289225	Barthea25076	http://amigo.geneontology.org/amigo/term/GO:0010089
electron transfer activity	Gene Ontology	GO:0009055	2	221	0.645561066561	0.776900193903	Barthea39517|Barthea13800	http://amigo.geneontology.org/amigo/term/GO:0009055
P-body	Gene Ontology	GO:0000932	1	104	0.645928513704	0.776900193903	Barthea20836	http://amigo.geneontology.org/amigo/term/GO:0000932
mitochondrial matrix	Gene Ontology	GO:0005759	1	105	0.649416777912	0.779075800893	Barthea12152	http://amigo.geneontology.org/amigo/term/GO:0005759
DNA binding	Gene Ontology	GO:0003677	9	990	0.649850525214	0.779075800893	Barthea39507|Barthea29229|Barthea12167|Barthea12166|Barthea37805|Barthea25083|Barthea20829|Barthea22894|Barthea20985	http://amigo.geneontology.org/amigo/term/GO:0003677
microtubule cytoskeleton organization	Gene Ontology	GO:0000226	1	106	0.652870758607	0.779075800893	Barthea37789	http://amigo.geneontology.org/amigo/term/GO:0000226
cytosolic ribosome	Gene Ontology	GO:0022626	3	338	0.653123649551	0.779075800893	Barthea37782|Barthea22855|Barthea13810	http://amigo.geneontology.org/amigo/term/GO:0022626
NAD binding	Gene Ontology	GO:0051287	1	107	0.656290791926	0.779075800893	Barthea39533	http://amigo.geneontology.org/amigo/term/GO:0051287
transcription, DNA-templated	Gene Ontology	GO:0006351	2	226	0.657481904795	0.779075800893	Barthea37805|Barthea41268	http://amigo.geneontology.org/amigo/term/GO:0006351
post-embryonic development	Gene Ontology	GO:0009791	1	108	0.659677210718	0.779075800893	Barthea25083	http://amigo.geneontology.org/amigo/term/GO:0009791
mitochondrion	Gene Ontology	GO:0005739	48	5078	0.662392094142	0.779929337915	Barthea39513|Barthea20851|Barthea20856|Barthea20963|Barthea39545|Barthea12183|Barthea29182|Barthea12149|Barthea29181|Barthea12160|Barthea13823|Barthea21000|Barthea25056|Barthea25073|Barthea13799|Barthea25076|Barthea37803|Barthea37782|Barthea22880|Barthea13825|Barthea39529|Barthea41244|Barthea39520|Barthea39522|Barthea20969|Barthea13800|Barthea22837|Barthea22844|Barthea22833|Barthea22831|Barthea22914|Barthea22854|Barthea20993|Barthea29237|Barthea29231|Barthea29246|Barthea20834|Barthea25063|Barthea41250|Barthea22890|Barthea25059|Barthea22892|Barthea20973|Barthea22899|Barthea41256|Barthea20971|Barthea20970|Barthea25084	http://amigo.geneontology.org/amigo/term/GO:0005739
chromatin binding	Gene Ontology	GO:0003682	2	229	0.664479397462	0.781212264583	Barthea22834|Barthea41248	http://amigo.geneontology.org/amigo/term/GO:0003682
plastid	Gene Ontology	GO:0009536	17	1867	0.674899898453	0.789905262315	Barthea25062|Barthea22904|Barthea12182|Barthea29164|Barthea39517|Barthea22905|Barthea13799|Barthea20969|Barthea39534|Barthea20993|Barthea22881|Barthea22830|Barthea22906|Barthea13800|Barthea20971|Barthea20970|Barthea22877	http://amigo.geneontology.org/amigo/term/GO:0009536
double-strand break repair via homologous recombination	Gene Ontology	GO:0000724	1	113	0.676116510374	0.790115025284	Barthea20856	http://amigo.geneontology.org/amigo/term/GO:0000724
vacuolar membrane	Gene Ontology	GO:0005774	9	1014	0.677097294976	0.790115025284	Barthea22855|Barthea41244|Barthea25092|Barthea25059|Barthea39557|Barthea13810|Barthea22849|Barthea22890|Barthea22889	http://amigo.geneontology.org/amigo/term/GO:0005774
ATP binding	Gene Ontology	GO:0005524	10	1124	0.679141510069	0.790339085442	Barthea29231|Barthea13823|Barthea20968|Barthea39551|Barthea20981|Barthea20845|Barthea20966|Barthea20846|Barthea12152|Barthea22838	http://amigo.geneontology.org/amigo/term/GO:0005524
SCF ubiquitin ligase complex	Gene Ontology	GO:0019005	1	114	0.679308051727	0.790339085442	Barthea22866	http://amigo.geneontology.org/amigo/term/GO:0019005
intracellular protein transport	Gene Ontology	GO:0006886	3	354	0.683245392778	0.7913922227	Barthea29248|Barthea41270|Barthea29179	http://amigo.geneontology.org/amigo/term/GO:0006886
ubiquitin-protein transferase activity	Gene Ontology	GO:0004842	4	470	0.686482260751	0.79396692787	Barthea25058|Barthea22907|Barthea25098|Barthea39501	http://amigo.geneontology.org/amigo/term/GO:0004842
innate immune response	Gene Ontology	GO:0045087	1	117	0.68869565958	0.794180709059	Barthea22861	http://amigo.geneontology.org/amigo/term/GO:0045087
defense response to bacterium, incompatible interaction	Gene Ontology	GO:0009816	1	118	0.691763539044	0.796545369223	Barthea22861	http://amigo.geneontology.org/amigo/term/GO:0009816
endoplasmic reticulum to Golgi vesicle-mediated transport	Gene Ontology	GO:0006888	1	119	0.694801257286	0.797697044656	Barthea41270	http://amigo.geneontology.org/amigo/term/GO:0006888
positive regulation of flower development	Gene Ontology	GO:0009911	1	119	0.694801257286	0.797697044656	Barthea12174	http://amigo.geneontology.org/amigo/term/GO:0009911
molecular_function	Gene Ontology	GO:0003674	51	5453	0.696071334236	0.797985145983	Barthea39513|Barthea41253|Barthea12188|Barthea37774|Barthea39529|Barthea39550|Barthea22863|Barthea37776|Barthea22847|Barthea22846|Barthea13797|Barthea21000|Barthea25059|Barthea22908|Barthea25074|Barthea37783|Barthea22880|Barthea39528|Barthea25094|Barthea29174|Barthea39497|Barthea13821|Barthea39503|Barthea25093|Barthea12171|Barthea25099|Barthea39498|Barthea39499|Barthea12180|Barthea25068|Barthea22832|Barthea39545|Barthea22915|Barthea22911|Barthea12153|Barthea12170|Barthea29234|Barthea29236|Barthea22877|Barthea37795|Barthea25063|Barthea37793|Barthea41238|Barthea20973|Barthea20963|Barthea22898|Barthea22899|Barthea41257|Barthea41237|Barthea41250|Barthea41235	http://amigo.geneontology.org/amigo/term/GO:0003674
ATPase-coupled transmembrane transporter activity	Gene Ontology	GO:0042626	2	246	0.701975437915	0.803577146034	Barthea20839|Barthea39557	http://amigo.geneontology.org/amigo/term/GO:0042626
carbohydrate transmembrane transporter activity	Gene Ontology	GO:0015144	1	122	0.703736388348	0.803623884623	Barthea29245	http://amigo.geneontology.org/amigo/term/GO:0015144
plant-type vacuole membrane	Gene Ontology	GO:0009705	2	247	0.70406894617	0.803623884623	Barthea13806|Barthea13805	http://amigo.geneontology.org/amigo/term/GO:0009705
protein serine/threonine kinase activity	Gene Ontology	GO:0004674	6	710	0.70738529034	0.806233889864	Barthea20846|Barthea12174|Barthea29246|Barthea20845|Barthea22916|Barthea22861	http://amigo.geneontology.org/amigo/term/GO:0004674
carbohydrate binding	Gene Ontology	GO:0030246	1	124	0.709547682848	0.807523016962	Barthea12146	http://amigo.geneontology.org/amigo/term/GO:0030246
regulation of defense response	Gene Ontology	GO:0031347	1	126	0.715245257761	0.810473280501	Barthea39509	http://amigo.geneontology.org/amigo/term/GO:0031347
ethylene-activated signaling pathway	Gene Ontology	GO:0009873	1	126	0.715245257761	0.810473280501	Barthea20829	http://amigo.geneontology.org/amigo/term/GO:0009873
cytokinin-activated signaling pathway	Gene Ontology	GO:0009736	1	129	0.72358324042	0.818736527816	Barthea25076	http://amigo.geneontology.org/amigo/term/GO:0009736
regulation of transcription by RNA polymerase II	Gene Ontology	GO:0006357	2	258	0.726298370683	0.81945134175	Barthea39530|Barthea41268	http://amigo.geneontology.org/amigo/term/GO:0006357
systemic acquired resistance	Gene Ontology	GO:0009627	1	130	0.726308085792	0.81945134175	Barthea20975	http://amigo.geneontology.org/amigo/term/GO:0009627
cysteine-type endopeptidase activity	Gene Ontology	GO:0004197	1	133	0.734322892318	0.826162429693	Barthea41261	http://amigo.geneontology.org/amigo/term/GO:0004197
trans-Golgi network	Gene Ontology	GO:0005802	5	618	0.734366604172	0.826162429693	Barthea12156|Barthea12171|Barthea39546|Barthea22895|Barthea39535	http://amigo.geneontology.org/amigo/term/GO:0005802
cell redox homeostasis	Gene Ontology	GO:0045454	1	144	0.761758471499	0.854522755278	Barthea39558	http://amigo.geneontology.org/amigo/term/GO:0045454
Golgi membrane	Gene Ontology	GO:0000139	1	147	0.768737456457	0.859887754866	Barthea39535	http://amigo.geneontology.org/amigo/term/GO:0000139
response to oxidative stress	Gene Ontology	GO:0006979	4	530	0.771265793815	0.861485187671	Barthea13806|Barthea13805|Barthea39558|Barthea41270	http://amigo.geneontology.org/amigo/term/GO:0006979
plasma membrane	Gene Ontology	GO:0005886	58	6358	0.775404592577	0.863644091021	Barthea13818|Barthea13819|Barthea37775|Barthea39516|Barthea13815|Barthea37779|Barthea39556|Barthea13810|Barthea39534|Barthea20993|Barthea20992|Barthea20837|Barthea22861|Barthea22860|Barthea12188|Barthea13804|Barthea22903|Barthea39517|Barthea25073|Barthea25058|Barthea12169|Barthea22883|Barthea20844|Barthea22889|Barthea12156|Barthea41234|Barthea25095|Barthea13824|Barthea39505|Barthea20966|Barthea22907|Barthea25092|Barthea20968|Barthea20969|Barthea12145|Barthea20980|Barthea20981|Barthea12158|Barthea20987|Barthea20988|Barthea22916|Barthea12175|Barthea25068|Barthea29251|Barthea29236|Barthea12174|Barthea22877|Barthea29233|Barthea41251|Barthea20839|Barthea41239|Barthea20979|Barthea22895|Barthea20972|Barthea20971|Barthea20970|Barthea41253|Barthea41252	http://amigo.geneontology.org/amigo/term/GO:0005886
antiporter activity	Gene Ontology	GO:0015297	1	151	0.777726531407	0.864999821153	Barthea39546	http://amigo.geneontology.org/amigo/term/GO:0015297
monooxygenase activity	Gene Ontology	GO:0004497	1	160	0.796697919735	0.882340128928	Barthea37773	http://amigo.geneontology.org/amigo/term/GO:0004497
photomorphogenesis	Gene Ontology	GO:0009640	1	160	0.796697919735	0.882340128928	Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0009640
regulation of stomatal movement	Gene Ontology	GO:0010119	1	163	0.80265565124	0.886430712159	Barthea25073	http://amigo.geneontology.org/amigo/term/GO:0010119
peptidyl-serine phosphorylation	Gene Ontology	GO:0018105	1	163	0.80265565124	0.886430712159	Barthea29246	http://amigo.geneontology.org/amigo/term/GO:0018105
chloroplast envelope	Gene Ontology	GO:0009941	9	1156	0.810538795774	0.893109047912	Barthea13815|Barthea13799|Barthea20969|Barthea25065|Barthea20993|Barthea37786|Barthea37787|Barthea20971|Barthea20970	http://amigo.geneontology.org/amigo/term/GO:0009941
protein homodimerization activity	Gene Ontology	GO:0042803	3	439	0.810984077989	0.893109047912	Barthea12174|Barthea20836|Barthea25067	http://amigo.geneontology.org/amigo/term/GO:0042803
response to cold	Gene Ontology	GO:0009409	5	689	0.813626195084	0.894760267909	Barthea22894|Barthea37786|Barthea37787|Barthea22895|Barthea13820	http://amigo.geneontology.org/amigo/term/GO:0009409
intracellular signal transduction	Gene Ontology	GO:0035556	2	313	0.81722620675	0.895662207466	Barthea29231|Barthea29246	http://amigo.geneontology.org/amigo/term/GO:0035556
protein glycosylation	Gene Ontology	GO:0006486	1	171	0.817705120331	0.895662207466	Barthea39535	http://amigo.geneontology.org/amigo/term/GO:0006486
response to nematode	Gene Ontology	GO:0009624	1	172	0.819503939687	0.895662207466	Barthea22877	http://amigo.geneontology.org/amigo/term/GO:0009624
transcription factor binding	Gene Ontology	GO:0008134	1	173	0.821285051504	0.895662207466	Barthea22851	http://amigo.geneontology.org/amigo/term/GO:0008134
hydrolase activity, hydrolyzing O-glycosyl compounds	Gene Ontology	GO:0004553	1	173	0.821285051504	0.895662207466	Barthea32063	http://amigo.geneontology.org/amigo/term/GO:0004553
anchored component of membrane	Gene Ontology	GO:0031225	2	316	0.821309661508	0.895662207466	Barthea39517|Barthea41234	http://amigo.geneontology.org/amigo/term/GO:0031225
response to chitin	Gene Ontology	GO:0010200	2	319	0.825311217074	0.897525948568	Barthea13820|Barthea39509	http://amigo.geneontology.org/amigo/term/GO:0010200
chloroplast thylakoid membrane	Gene Ontology	GO:0009535	4	581	0.828249998019	0.899299012978	Barthea30114|Barthea37776|Barthea37775|Barthea39558	http://amigo.geneontology.org/amigo/term/GO:0009535
response to cadmium ion	Gene Ontology	GO:0046686	5	711	0.833970740525	0.902909684885	Barthea37782|Barthea13815|Barthea25073|Barthea13823|Barthea22830	http://amigo.geneontology.org/amigo/term/GO:0046686
protein ubiquitination	Gene Ontology	GO:0016567	6	838	0.83829822232	0.905362080106	Barthea29242|Barthea39501|Barthea37779|Barthea25098|Barthea37788|Barthea22866	http://amigo.geneontology.org/amigo/term/GO:0016567
hydrolase activity	Gene Ontology	GO:0016787	1	193	0.853444466126	0.917921726617	Barthea41249	http://amigo.geneontology.org/amigo/term/GO:0016787
RNA modification	Gene Ontology	GO:0009451	1	194	0.854891383211	0.918216670856	Barthea41256	http://amigo.geneontology.org/amigo/term/GO:0009451
transmembrane transporter activity	Gene Ontology	GO:0022857	3	481	0.85613652147	0.918294378509	Barthea29250|Barthea39546|Barthea29245	http://amigo.geneontology.org/amigo/term/GO:0022857
